id,status,slug,platform,durationSeconds,title,hook,dialogue,evidence
"DGR-VM-025","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-myth-check","TikTok","20","Appearance: Myth check — styles and layouts","This is not a promise that every machine behaves the same.","This is not a promise that every machine behaves the same. What Dagric actually documents is: Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-026","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-quiet-demo","Instagram Reels","12","Appearance: Quiet demo — styles and layouts","Watch the workflow.","Watch the workflow. Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-027","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-proof-card","YouTube Shorts","16","Appearance: Proof card — styles and layouts","Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace. The evidence path is included below so you can check it.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-028","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-before-you-install","Snapchat Spotlight","27","Appearance: Before you install — styles and layouts","Before you install anything, this is worth checking on your own hardware: Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","Before you install anything, this is worth checking on your own hardware: Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-029","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-honest-limitation","TikTok","22","Appearance: Honest limitation — styles and layouts","The useful feature is real, and so is the boundary.","The useful feature is real, and so is the boundary. Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace. We will show both.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-030","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-founder-voice","Instagram Reels","36","Appearance: Founder-style voice — styles and layouts","We built this for people who want to understand what their computer is doing.","We built this for people who want to understand what their computer is doing. Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace. Here is the real interface, not a mockup.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-031","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-human-question","YouTube Shorts","18","Appearance: Human question — wallpaper packs","You might be wondering, “Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.” Let’s look at the actual screen and the limitation that goes with it.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-032","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-screen-first","Snapchat Spotlight","14","Appearance: Screen first — wallpaper packs","Here it is on a running Dagric system: Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","Here it is on a running Dagric system: Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-033","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-three-beats","TikTok","24","Appearance: Three-beat explainer — wallpaper packs","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-034","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-owner-scenario","Instagram Reels","30","Appearance: Owner scenario — wallpaper packs","Imagine this is the PC you already use.","Imagine this is the PC you already use. Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants. Here is the cautious way to try it.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-035","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-myth-check","YouTube Shorts","20","Appearance: Myth check — wallpaper packs","This is not a promise that every machine behaves the same.","This is not a promise that every machine behaves the same. What Dagric actually documents is: Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-036","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-quiet-demo","Snapchat Spotlight","12","Appearance: Quiet demo — wallpaper packs","Watch the workflow.","Watch the workflow. Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-037","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-proof-card","TikTok","16","Appearance: Proof card — wallpaper packs","Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants. The evidence path is included below so you can check it.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-038","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-before-you-install","Instagram Reels","27","Appearance: Before you install — wallpaper packs","Before you install anything, this is worth checking on your own hardware: Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","Before you install anything, this is worth checking on your own hardware: Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-039","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-honest-limitation","YouTube Shorts","22","Appearance: Honest limitation — wallpaper packs","The useful feature is real, and so is the boundary.","The useful feature is real, and so is the boundary. Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants. We will show both.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-040","SCRIPTED_WAITING_FOR_VM_FOOTAGE","wallpaper-packs-founder-voice","Snapchat Spotlight","36","Appearance: Founder-style voice — wallpaper packs","We built this for people who want to understand what their computer is doing.","We built this for people who want to understand what their computer is doing. Dagric ships thirty-four wallpaper packs, including fourteen logo-free Clean variants. Here is the real interface, not a mockup.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-041","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-human-question","TikTok","18","Accessibility: Human question — accessible live boot","You might be wondering, “The live ISO includes a screen-reader boot entry directly under the default entry.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “The live ISO includes a screen-reader boot entry directly under the default entry.” Let’s look at the actual screen and the limitation that goes with it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-042","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-screen-first","Instagram Reels","14","Accessibility: Screen first — accessible live boot","Here it is on a running Dagric system: The live ISO includes a screen-reader boot entry directly under the default entry.","Here it is on a running Dagric system: The live ISO includes a screen-reader boot entry directly under the default entry.","docs/EDITIONS.md — Accessibility"
"DGR-VM-043","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-three-beats","YouTube Shorts","24","Accessibility: Three-beat explainer — accessible live boot","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. The live ISO includes a screen-reader boot entry directly under the default entry.","docs/EDITIONS.md — Accessibility"
"DGR-VM-044","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-owner-scenario","Snapchat Spotlight","30","Accessibility: Owner scenario — accessible live boot","Imagine this is the PC you already use.","Imagine this is the PC you already use. The live ISO includes a screen-reader boot entry directly under the default entry. Here is the cautious way to try it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-045","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-myth-check","TikTok","20","Accessibility: Myth check — accessible live boot","This is not a promise that every machine behaves the same.","This is not a promise that every machine behaves the same. What Dagric actually documents is: The live ISO includes a screen-reader boot entry directly under the default entry.","docs/EDITIONS.md — Accessibility"
"DGR-VM-046","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-quiet-demo","Instagram Reels","12","Accessibility: Quiet demo — accessible live boot","Watch the workflow.","Watch the workflow. The live ISO includes a screen-reader boot entry directly under the default entry.","docs/EDITIONS.md — Accessibility"
"DGR-VM-047","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-proof-card","YouTube Shorts","16","Accessibility: Proof card — accessible live boot","The live ISO includes a screen-reader boot entry directly under the default entry.","The live ISO includes a screen-reader boot entry directly under the default entry. The evidence path is included below so you can check it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-048","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-before-you-install","Snapchat Spotlight","27","Accessibility: Before you install — accessible live boot","Before you install anything, this is worth checking on your own hardware: The live ISO includes a screen-reader boot entry directly under the default entry.","Before you install anything, this is worth checking on your own hardware: The live ISO includes a screen-reader boot entry directly under the default entry.","docs/EDITIONS.md — Accessibility"
"DGR-VM-049","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-honest-limitation","TikTok","22","Accessibility: Honest limitation — accessible live boot","The useful feature is real, and so is the boundary.","The useful feature is real, and so is the boundary. The live ISO includes a screen-reader boot entry directly under the default entry. We will show both.","docs/EDITIONS.md — Accessibility"
"DGR-VM-050","SCRIPTED_WAITING_FOR_VM_FOOTAGE","accessible-live-boot-founder-voice","Instagram Reels","36","Accessibility: Founder-style voice — accessible live boot","We built this for people who want to understand what their computer is doing.","We built this for people who want to understand what their computer is doing. The live ISO includes a screen-reader boot entry directly under the default entry. Here is the real interface, not a mockup.","docs/EDITIONS.md — Accessibility"
"DGR-VM-051","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-human-question","YouTube Shorts","18","Accessibility: Human question — screen reader shortcut","You might be wondering, “Meta+Alt+S toggles the Orca screen reader in the desktop session.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “Meta+Alt+S toggles the Orca screen reader in the desktop session.” Let’s look at the actual screen and the limitation that goes with it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-052","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-screen-first","Snapchat Spotlight","14","Accessibility: Screen first — screen reader shortcut","Here it is on a running Dagric system: Meta+Alt+S toggles the Orca screen reader in the desktop session.","Here it is on a running Dagric system: Meta+Alt+S toggles the Orca screen reader in the desktop session.","docs/EDITIONS.md — Accessibility"
"DGR-VM-053","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-three-beats","TikTok","24","Accessibility: Three-beat explainer — screen reader shortcut","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. Meta+Alt+S toggles the Orca screen reader in the desktop session.","docs/EDITIONS.md — Accessibility"
"DGR-VM-054","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-owner-scenario","Instagram Reels","30","Accessibility: Owner scenario — screen reader shortcut","Imagine this is the PC you already use.","Imagine this is the PC you already use. Meta+Alt+S toggles the Orca screen reader in the desktop session. Here is the cautious way to try it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-055","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-myth-check","YouTube Shorts","20","Accessibility: Myth check — screen reader shortcut","This is not a promise that every machine behaves the same.","This is not a promise that every machine behaves the same. What Dagric actually documents is: Meta+Alt+S toggles the Orca screen reader in the desktop session.","docs/EDITIONS.md — Accessibility"
"DGR-VM-056","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-quiet-demo","Snapchat Spotlight","12","Accessibility: Quiet demo — screen reader shortcut","Watch the workflow.","Watch the workflow. Meta+Alt+S toggles the Orca screen reader in the desktop session.","docs/EDITIONS.md — Accessibility"
"DGR-VM-057","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-proof-card","TikTok","16","Accessibility: Proof card — screen reader shortcut","Meta+Alt+S toggles the Orca screen reader in the desktop session.","Meta+Alt+S toggles the Orca screen reader in the desktop session. The evidence path is included below so you can check it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-058","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-before-you-install","Instagram Reels","27","Accessibility: Before you install — screen reader shortcut","Before you install anything, this is worth checking on your own hardware: Meta+Alt+S toggles the Orca screen reader in the desktop session.","Before you install anything, this is worth checking on your own hardware: Meta+Alt+S toggles the Orca screen reader in the desktop session.","docs/EDITIONS.md — Accessibility"
"DGR-VM-059","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-honest-limitation","YouTube Shorts","22","Accessibility: Honest limitation — screen reader shortcut","The useful feature is real, and so is the boundary.","The useful feature is real, and so is the boundary. Meta+Alt+S toggles the Orca screen reader in the desktop session. We will show both.","docs/EDITIONS.md — Accessibility"
"DGR-VM-060","SCRIPTED_WAITING_FOR_VM_FOOTAGE","screen-reader-shortcut-founder-voice","Snapchat Spotlight","36","Accessibility: Founder-style voice — screen reader shortcut","We built this for people who want to understand what their computer is doing.","We built this for people who want to understand what their computer is doing. Meta+Alt+S toggles the Orca screen reader in the desktop session. Here is the real interface, not a mockup.","docs/EDITIONS.md — Accessibility"
"DGR-VM-061","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-human-question","TikTok","18","Accessibility: Human question — high contrast style","You might be wondering, “The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.” Let’s look at the actual screen and the limitation that goes with it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-062","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-screen-first","Instagram Reels","14","Accessibility: Screen first — high contrast style","Here it is on a running Dagric system: The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","Here it is on a running Dagric system: The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","docs/EDITIONS.md — Accessibility"
"DGR-VM-063","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-three-beats","YouTube Shorts","24","Accessibility: Three-beat explainer — high contrast style","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","docs/EDITIONS.md — Accessibility"
"DGR-VM-064","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-owner-scenario","Snapchat Spotlight","30","Accessibility: Owner scenario — high contrast style","Imagine this is the PC you already use.","Imagine this is the PC you already use. The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold. Here is the cautious way to try it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-065","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-myth-check","TikTok","20","Accessibility: Myth check — high contrast style","This is not a promise that every machine behaves the same.","This is not a promise that every machine behaves the same. What Dagric actually documents is: The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","docs/EDITIONS.md — Accessibility"
"DGR-VM-066","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-quiet-demo","Instagram Reels","12","Accessibility: Quiet demo — high contrast style","Watch the workflow.","Watch the workflow. The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","docs/EDITIONS.md — Accessibility"
"DGR-VM-067","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-proof-card","YouTube Shorts","16","Accessibility: Proof card — high contrast style","The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold. The evidence path is included below so you can check it.","docs/EDITIONS.md — Accessibility"
"DGR-VM-068","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-before-you-install","Snapchat Spotlight","27","Accessibility: Before you install — high contrast style","Before you install anything, this is worth checking on your own hardware: The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","Before you install anything, this is worth checking on your own hardware: The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold.","docs/EDITIONS.md — Accessibility"
"DGR-VM-069","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-honest-limitation","TikTok","22","Accessibility: Honest limitation — high contrast style","The useful feature is real, and so is the boundary.","The useful feature is real, and so is the boundary. The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold. We will show both.","docs/EDITIONS.md — Accessibility"
"DGR-VM-070","SCRIPTED_WAITING_FOR_VM_FOOTAGE","high-contrast-style-founder-voice","Instagram Reels","36","Accessibility: Founder-style voice — high contrast style","We built this for people who want to understand what their computer is doing.","We built this for people who want to understand what their computer is doing. The High Contrast style is in Free and its measured color pairs pass a 7:1 build-time threshold. Here is the real interface, not a mockup.","docs/EDITIONS.md — Accessibility"
"DGR-VM-071","SCRIPTED_WAITING_FOR_VM_FOOTAGE","offline-help-human-question","YouTube Shorts","18","Documentation: Human question — offline help","You might be wondering, “Dagric includes an offline manual and guide that work without a network connection.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “Dagric includes an offline manual and guide that work without a network connection.” Let’s look at the actual screen and the limitation that goes with it.","docs/FIELD-NOTES-2026-08-15.md — What already works"
"DGR-VM-072","SCRIPTED_WAITING_FOR_VM_FOOTAGE","offline-help-screen-first","Snapchat Spotlight","14","Documentation: Screen first — offline help","Here it is on a running Dagric system: Dagric includes an offline manual and guide that work without a network connection.","Here it is on a running Dagric system: Dagric includes an offline manual and guide that work without a network connection.","docs/FIELD-NOTES-2026-08-15.md — What already works"
"DGR-VM-073","SCRIPTED_WAITING_FOR_VM_FOOTAGE","offline-help-three-beats","TikTok","24","Documentation: Three-beat explainer — offline help","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. Dagric includes an offline manual and guide that work without a network connection.","docs/FIELD-NOTES-2026-08-15.md — What already works"
"DGR-VM-074","SCRIPTED_WAITING_FOR_VM_FOOTAGE","offline-help-owner-scenario","Instagram Reels","30","Documentation: Owner scenario — offline help","Imagine this is the PC you already use.","Imagine this is the PC you already use. Dagric includes an offline manual and guide that work without a network connection. Here is the cautious way to try it.","docs/FIELD-NOTES-2026-08-15.md — What already works"
